inspection_id,law,violation_comments,corrective_comments
6608719,3-603.11,"THE LUNCH MENU WAS LACKING AN ASTERISK ON THE RAW FISH ROLLS, AND IT IS LACKING A PROPER DISCLOSURE (* CONTAINS RAW FOODS), AND MISSING A RISK REMINDER.DINNER MENU HAS THE SAME PROBLEMS.",DO THE FOLLOWING:1.PUT AN ASTERISK ON ALL MENU ITEMS WITH RAW FISH OR LIGHTLY COOKED FISH.2.PUT A DISCLOSURE ON THE MENU THAT STATES (* INDICATES CONTAINS RAW FISH.)3.PROVIDE A RISK REMINDERON EACH MENU THAT READS LIKE SENTENCE #2 ABOVE.I WILL RECHECK ON THIS.
6608719,3-203.12,OPERATOR ONLY HAS SOME OF THE OYSTER AND MUSSLE TAGS.OPERATOR IS NOT DATING THE TAGS WITH THE DATE THE SHELLFISH WAS USED UP.,START KEEPING TAGS FOR 90 DAYS AFTER USE AND DATE THE TAGS WITH THE DATE THE BATCH OF SHELLFISH IS USED UP.
6608719,6-301.11,THE FAR HANDSINK IN THE SUSHI LINE NEAR RESTROOMS WAS LACKING SOAP.,***CORRECTED**** SOAP WAS SET OUT.
9903891,3-302.12,Container of pine nuts and walnuts without labels (major allergens),Corrected by labeling both containers
9903891,3-305.14,Area above salad prep table have dust build up and are heavily soiled,Clean and maintain to protect from contaminating exposed foods
9903891,6-202.11,Broken light cover over salad prep area,Provide shatter proof cover for light over salad prep area. If light breaks prior to replacement all food etc. must be discarded and or sanitized.
9903891,6-501.111(C),"More than 20 smallflies viewed in the bar area in and around the sink, garbage, and soda dispenser.","Corrected by operator agreeing to deep clean drains in bar area, work on general cleaning of food and beverage spills, removing trash regularly and closing front door to facility when pests are noted inside,"
9903891,3-501.16,Beverage cooler under pizzas is holding at a temperature reading at 45F. Marinara in take-out cups temped at 45F and ranch in take-out cups temped at 54F.,Corrected by discarding off temp items and operators agreed to no longer keep take-out sauces in the beverage cooler.
9005103,4-302.14,"Lacked the right kind of testing strips. Need QT-10, 40, or 44 testing strips.",PIC was able to provide QT-10 testing strips after inspection. No recheck is required
6805816,"","",""
8505511,4-602.13,There is old food on shelves that needs to be cleaned . Remove all utensils from products at the end of the night. Discussed with operator.,""
8505511,3-501.17,Not one item in the entire facility is dated.,***Corrected by explaining all undated food is subject to discard. Chef said he was able to identify the days products were made. All items were dated. On reinspection I check on the datemarking.
8505511,3-501.16,Large bag of bean sprouts 50F sitting in a plastic insert on TOP of the other inserts. Chef confirmed temperature readings. Chef said this was left there over night because it is easier.,***Corrected by discarding. There is no way to keep any products 41F or less sitting on top the inserts in the refrigeration unit. They must be IN the inserts. This is a repeat violation from your last inspection and the points are doubled.
8505511,4-501.114(A),Dishwasher showing no chlorine residual after final rinse. Ran unit several times.,***Corrected by replacing the bottle that was empty. Primed the machine for several minutes but was not able to detect any bleach in the final rinse. They have called repair service who will be out today. Do not use until sanitizing a minimum of 50PPM. Thisrequires a reinspection. I will return in approx. 2 weeks.
8505511,"3-302.11(A)(1,2)","In chefs reachin on the line there was one conatiner with raw chicken, raw ground beef and fish co-mingling. This was on top of cooked crab. ***in the walkin there was a container of raw meat mixed with cooked bay style shrimp. ***in the freezeer there was re-packaged raw chicken over other raw meats and products.",***Corrected by educating and showing proper speration of raw proteins.
8505511,2-401.11,Several drink cups with lids but no handle or straw.,***Corrected by removing/discarding.
8106776,"","",""
6205295,"","",""
6609125,6-501.113,Dry mop stored on top of prep sink.,Do not store your maintenance tools anywhere near food prep area.Please clean & sanitize sink - no visible signs of contamination.
3608037,3-603.11,"Please improve on the consumer advisory(see handout), recheck will be done in 14 days.",Please provide anasterisking to related food items with same text size of the menu items.
8505464,4-501.114(A),Dishwasher showing no chlorine residual at final rinse after running several times and priming machine.,***Corrected by using 3 compartment sink until unit is repaired. This requires a reinspection and I will return in approx. 2 weeks.
8704447,6-501.12,Large puddle of water on the floor near in front of the refrigerator and next to the cook line.,""
8704447,3-501.17,Shreddedcooked beefin the walk in from yesterday did not have a date,Corrected - PIC stated that he would date mark the item.
8704447,4-501.114(A),Both sanitizer buckets on the line and in the front of the house did not have chlorine,Corrected - PIC added chlorine to each bucket
6805856,"","",""
6609039,6-305.11,THERE WERE JACKETS HANGING ON THE FOOD RACKS IN THE DRY STORAGE AREA BEHIND THE COOKLINE,STORE IN A AREA WAY FROM THE FOODS AND DRY STORAGE AREA.
6609039,2-301.14,COOK HANDLED A RAW STEAK AND PUT IT ON THE GRILL AND THEN WHEN TO PUT INSERTS OF FOOD IN ICE.,STOP.***CORRECTED**** EMPLOYEE WASHED HANDS AFTER I ASKED HER.JUST BE SURE TO WASH HANDS WHEN YOU HANDLE ANY RAW MEATS.
6609039,2-401.11,"THERE WAS A TAKEOUT COFFEE CUP WITH A LID, BUT NO STRAW ON THE SHELF OVER THE COOKLINE.THERE WAS A CONTAINER OF A BLUE DRINK WITH A SCREW OFF LID ON THE TABLE NEAR THE HANDSINK.",***CORRECTED**** PIC TOOK CARE OF THE ISSUE.I LEFT A FLYER ON THE PROPER DRINK CONTAINERS.
3404574,4-602.13,"Visible soil and food debris on all handles of refrigeration units, cabinets, and hand contact surfaces.",Please deep clean and increase frequency of cleaning in future to prevent cross-contamination.
3404574,3-305.11,"Many personal items intermingled with food and restaurant items in back storage area and in cabinets (tools, blankets, utility cords, etc).",Please keep personal items and restaurant items separate from each other at all times to reduce/prevent cross-contamination.
3404574,"3-302.11(A)(1,2)",Raw chicken in freezer intermingled with vegetables and other ready to eat foods.,***CORRECTED*** by PIC rearranging freezer so that proper stacking heirarchy is achieved. Educated and left stickers/literature as reminders for future.
3404574,6-301.11,"Observed dishes in only hand wash sink and no soap in dispenser. Tonya explained she uses the center of 3 compartment sink for hand washing, though no hand soap was available there either.","***CORRECTED***by education and Tonya decided to start washing her hands in the hand sink instead, and added hand soap to the dispenser before the inspection was complete."
3404574,2-401.11,"Piece of chocolate cake, half-eaten with fork, in the kitchen upon arrival for inspection.",***CORRECTED*** by education and Tonya throwing out the cake.
3404574,2-301.14,Observed Tonya touch money at register and immediately touch ice for a customer beverage with bare hand contact. Also did not wash hands in between switching tasks.,***CORRECTED*** by education and demonstrating proper handwashing methods thereafter.
6805741,4-601.11(A),ICE MACHINE GUARD AND KNIVES ON MAGNETIC HOLDER SOILED.,CLEANED AT INSPECTION
8605185,"","",""
9505553,4-602.13,TABLE BY CHEST FREEZER DIRTY.DUST BUILD-UP ON SHELF COVER IN WALK-IN.,CLEAN.
6205134,"","",""
9504785,3-501.16,BOWL OF COOKED CHICKEN WITH TEMPERATURE OF 45 DEGREES KEPT ON TOP OF INSERT PAN AT TOP AREA OF INSERT REFRIGERATOR.AREA ABOVE THE INSERT PANS--EVEN WITH THE LID CLOSED WILL NOT HOLD FOOD 41 DEGREES OR LESS.,"CORRECTED, BOWL OF COOKED CHICKEN PLACED IN LOWER AREA OF THE REFRIGERATOR WHERE BELOW 41 DEGREES."
6805807,"","",""
8204695,3-304.12,Using a bowl to scoop out marinera sauce from container in fridge.,Please use scoop with handle and keep handle upward to avoid cross contamination from hands. Thank you.
8204695,"3-302.11(A)(1,2)",Observed carton of raw eggs stored over ready-to-eat meatballs.,*CORRECTED* EGGS MOVED TO BOTTOM BELOW READY-TO-EAT FOOD.
6609164,4-501.114(A),"CHEF WAS WASHING DISHES IN A THREE COMPARTMENT SINK USING THE 3 STEP METHOD, BUT THE SANITIZER SINK WAS LACKING SANITIZER.(CHECKED FOR BOTH QUATS AND FREE CHLORINE).",***CORRECTED*** SANITIZER WAS ADDED.
6609164,4-204.112(A)(B)(D),MISSING A THERMOMETER IN THE 3 DOOR KEG COOLER WITH MILK.,PROVIDE A VISIBLE THERMOMETER.
6609164,4-203.12,THE THERMOMETER IN THE ONE DOOR COOLER WAS READING 12 F AND THE FOOD WAS NOT FROZEN - THERMOMETER WAS WRONG.,***CORRECTED**** THERMOMETER WAS REMOVED TO BE DISCARDED.
6609164,3-501.14,ONE CONTAINER OF CONEY SAUCE IN THE WALK-IN COOLER WAS AT 54-55 F FROM YESTERDAY.,***CORRECTED*** DISCARDED.
8404160,"","",""
6609208,5-501.115,THERE WAS RECYCLING MATERIALS SPILLED AROUND THE RECYCLING CONTAINERS OUTSIDE.,""
6609208,4-204.112(A)(B)(D),NO THERMOMETER IN THE KEG COOLER WITH MILK.,PROVIDE.
3404600,4-501.111,Warewasher only achieved a temperature of 151 F after 5 runs.,Please service ASAP and sanitize dishes in chlorine sanitizer in 3 compartment sink until fixed. I will be back to recheck within 2 weeks.
9903998,6-202.11,Lights nearest cash register are missing shatterproof cover.,Provide cover for lights.
9903998,5-205.15(B),Standing water is present in mop sink. Appears that sink is clogged.,Unclog mop sink.+ CONFIRM NIGHT CREW IS DUMPING MOP WATER IN SINK AND NOT IN OUTSIDE STORM DRAINS.
9903998,6-202.14,Restroom for employees and customers (which can only be accessed by walking through kitchen) does not have a self closing door. The door opens directly into kitchen where mop sink and shelf with clean dishes are stored.,"- Provide self closing door for restroom. Until installed, keep restroom door closed between uses. - Note that if facility undergoes remodel, then a customer restroom that does not require access through kitchen must be provided."
9903998,4-501.12,Prep board on steam line is pitted and stained.,"Replace/resurface cutting/prep board to restore it to smooth, nonabsorbant, and easily cleanable condition."
9903998,3-304.15(A),Dishwasher wears single use gloves and does not change gloves between handling/spray cleaning dirty dishes and handling clean dishes.,CORRECTED DURING INSPECTION by educating employee and having her change to clean gloves before handling clean dishes.
9903998,7-102.11,Spray bottles of cleaner and degreaser are not labeled.,CORRECTE DURING INSPECTION by labeling spray bottles. Always label all containers of chemicals/toxics.
9903998,3-305.14,- Underside of mixer has accumulated lubricant visible around mix shaft (directly above where exposed food is during use). Surfaces of mixer have missing paint and are corroded.- Plastic cups with no handles are stored in cooked potatoes in prep reach-in.,- Remove accumulated lubricant from mixer surfaces (please also confirm that lubricant being used is for use on food equipment). Watch to ensure that loose paint is not present on surfaces directly above mixing bowl to prevent potential contamination of food.- Provide scoops/utensils with handles and store with handles out of food.
8505843,3-501.16,Old soda refrigeration unit in back prep area holding at 47F. Raw eggs in unit.,***Corrected by removing eggs. Please repair. I will return to reinspect in approx. 2 weeks.
8505843,"3-302.11(A)(1,2)",Raw eggs over ready serve jam/compote in reachin refrigerator in dish area with grill. Ground sauage chubs over bacon and whole muscle meat in refrigeration unit.,***Corrected by moving eggs to a different unit.Corrected by moving ground meats to bottom shelf.
8505843,2-301.14,"Cook cracks eggs and then handles plates, sometimes toasts and butters bread.",***Corrected by washing hands after cracking eggs or not handling plates/toast (ready serve foods).
6205279,"","",""
9004978,4-501.114(A),Chemical dishwasher not dispensing at least 50ppm - 200ppm at final rinse,For now PIC set up sanitize sink with 50ppm - 200ppm chlorine residual to effectively sanitize all dishes. PIC all the ECOlab tech person to come fix the dishwasher machine. Will come back to recheck within one week
9004978,2-301.14,Observed the cook touching/wiping his hands on his shirt/uniform and continue working without washing his hands in the handsink.,Directed the operator to wash his hands in the handsink and discussed handwashing activities with manager and operators during inspection
3404624,3-501.17,"2 containers of cooked beets were without date-markings, as well as a green sauce. Carnitas in walk-in dated from 5/2 (todays date is 5/12).","***CORRECTED*** by education and kitchen staff added proper date-markings to the items that were missing them, and Chef Tony discarded the carnitas."
3404624,3-501.16,Small cook line reach-in at 51 F. No thermometer in this unit.,Chef Tony removed any potentially hazardous foods and turned the unit down. This unit failed to reach a temperature of 41 F before I completed the inspection. I will be back to recheck in 2 weeks. Please repair and add a red fluid thermometer to this unit to be able to check for inconsistencies in the future.
6205101,3-501.16,"In the kitchen, the longer prep unit was holding food in the 52 to 54 deg F range. The unit primarily contains vegetables and lunchmeat for sandwiches.While emptying it out, Bill noticed an ice build-up through the back grate.","All food was moved to another unit, and the unit turned off to defrost. MAKE SURE TO HAVE THE UNIT SERVICED IF THIS DOESN'T WORK, OR IF IT REOCCURS. I will return in approx 2 weeks to follow-up."
8704436,3-501.16,Lasagna marked 10/28in the reach-in cooler temped between 41-47 F. Tuna in the top load portion of the cooler temped at 51 as well as two pasta salads.," PIC removed all potentially hazardous items from the cooler, discarding those that had been in the cooler since the 28th and relocating to the walk in or icing those items in the top loaded portion for under four hours. I will return in two weeks to recheck the refrigerator."
8605125,"","",""
7704790,6-305.11,Employee jacket is hung on the wire shelf at River City.,***Employee items should have a designated area. Moved at inspection.
7704790,4-204.112(A)(B)(D),Thermometer should be provided to test the water temperature. Several thin tip thermometers are on order and have not arrived.,***Provide
7704790,3-501.15,River City has cooked chicken that has an internal temperature of 129F in a pan with plastic wrap covering the product in the walk-in.,***Cooling should be done quickly and to allow heat to escape from product. Corner uncovered at inspection.
7704790,3-501.16,"Several item are held out of cold holding temperature. At the chill/expresso area, cottage cheese, fruit, quinioa and potato salad are holding at 47F in the front display case; Soy milk at the smoothy station has an internal temperature of 43F to 47F, At the bistro station on the buffet line some items are not holding 41F or below: green bean salad 68F, cauliflower salad 62F, potato salad 60F, Also the chicken at the bistro refrigerator is holding at 46F. At the pasta line chicken has an internal temperature of 46F in the drawer refrigerator.",***Potentially hazardous food should be held at 41F or below. Items at the expresso/chill area are moved to a refrigerator holding 41F or below. The Buffet and bistro product is taken back to the walk-in to cool. Pizza line the chicken is also taken to the walk-in to cool.
7704790,5-205.11,Sanitizer bucket in stored in handwashing sink at the bristro.,***Handwashing sink should have access at all times. Bucket moved at inspection.
7704790,"3-302.11(A)(1,2)",Raw cut meat stored above ready to eat food in the #2 walk-in refrigerator.,***Moved at inspection to a safe location.
8404089,"","",""
6205303,"","",""
8106344,"","",""
3608546,6-301.12,Bar handwashing is lacking paper towels at start of inspection.,**Provide**
8505480,2-301.14,Cook cracked eggs and did not wash his hands and continued to handle plates and spatula.,***Corrected by directing cook to wash hands after cracking eggs. Discussed pre-cracking eggs into monkey dishes for food safety and convience.
8505480,7-102.11,Spray bottles (2) with chemicals not labeled.,***Corrected.
8505480,3-501.16,"On shelf above stove and over salamander, and products sitting out-potatoes 125 -130F, Bavarian cream 115F, Hollandaise 119F and cooked chicken 105F.",***Corrected by reheating all products to 165F for 15 seconds or more and holding at 135F or greater at all times. Hollandaise will be added to the timing rule. Write the discard time on the hollandaise container.
8505480,4-501.114(A),Dishwasher was showing no chlorine residual at inspection. Ran unit 3 times.,***Corrected. Employee was able to fix. Now showing 50PPM chlorine
9505563,"","",""
6205138,"","",""
7905810,4-302.12,NO THIN TIPPED DIGITAL THERMOMETER PRESENT FOR MEASURE THIN MEAT TEMPS WHEN COOKED ON GRILL,WILL GET ASAP - CAN SEND E-MAIL PICTUREWITH RECEIPT TO AVOID ON-SITE RECHECK INSPETON.
7905810,7-201.11,ALUMINUM FOIL AND PLASTIC WRAP ON SHELVING BELOW CHEMICALS IN UPSTAIRS STOREROOM,HAD PRODUCTS REARRANGED & EDUCATED FOR CORRECTION
7905810,3-501.14,CHICKENS AT ROOM TEMP (72F) THAT HAD BEEN COOKED TODAY,HAD THEM REFIRGERATED & EDUCATED ABOUT PROPER COOLING FOR CORRECTION
7905810,6-202.11,WALKIN LIGHT BULB NOT PROTECTED (AND IT IS TOO DIM IN THERE),PUT COVER OVER LIGHT & USE A BRIGHTER LIGHT BULB
6608856,3-304.14,THE IN USE WIPING CLOTHS WERE LACKING SANITIZER.,PROVIDE 100 PPM FREE CHLORINE.
6608856,7-101.11,THERE WERE 6-7 SPRAY BOTTLES IN THE KITCHEN WITHOUT LABELS.,***CORRECTED*** SPRAY BOTTLES WERE LABELED.
6608856,2-301.14,SAW EMPLOYEE REPEATEDLY BRUSH BACK HAIR AND THEN CUT A CAKE.AFTER CUTTING CAKE HE BRUSHED HIS HAIR BACK AGAIN.,"***CORRECTED*** I TOLD EMPLOYEE TO WASH HANDS AND TO BE CAREFULL NOT TO BRUSH BACK HAIR WHEN WORKING WITH FOOD.(EMPLOYEE HANDLED KNIFE, AND DID NOT DIRECTLY HANDLE THE CAKE.STILL NOT THE CORRECT PROCEDURE, BUT CAKE WAS NOT CONTAMINATED AND IT WAS SAVED.)"
9005091,3-501.16,Milk under the reach-in was at 47F - 48F. The staff might have the milk on the counter too long during busy lunch period.,Corrected by PIC discarding the milk during inspection
9005091,4-501.114(A),Dishwasher dispensing less than 50ppm chlorine residual at final rinse. The chemical bottle is emptied. PIC replace the sanitizer bucket and prime it several times.,Now the dishwasher is dispensing 100ppm chlorine residual at final rinse
9505793,4-903.11,BEER PITCHER USED TO STORE CLEAN UTENSILS ABOVE INSERT REFRIGERATOR IS SOILED.,EMPLOYEE TO RUN THIS THROUGH THE DISHWASHER.
9505793,4-602.11(E),TWO SODA GUN HOLDERS SOILED.,CLEAN.
9505793,3-603.11,"CHANGED THE MENU SINCE THE LAST INSPECTION.TODAY MANU HAS CORRECTLY WORDED WARNING AND HAS AN ASERISK BY THE WARNING, BUT LACKS AN ASTERISK BY THE FOOD ITME THAT CAN BE ORDERED UNDERCOOKED (HAMBURGERS).","CORRECTED, AGREES TO BEGIN PLACING ASTERISKS BY THE HAMBURGERS ON THE MENU."
9505793,3-501.18(A),"TWO BAGS OF SANDWICH MEAT DATED 3/18, ONE BAG DATED 3/15.ALL PAST SEVEN DAYS.","CORRECTED, THROWN OUT.DIRECTED EMLOYEE TO DATE MARKING RULE STICKER POSTED ON WALK-IN DOOR."
3608353,3-501.18(A),"Walkin cooler:Roasted red peppers with date-marking of 1/12 and today is 1/20.Maximum holding is 7 days, discarded.",""
3608399,3-501.17,"Walkin cooler:Leftover food items are lacking date-marking, according to the cook, its from yesterday.Please improve on date-marking.",""
8505459,4-501.114(A),Dishwashing machine showing no chlorine residual at inspection.,***Corrected by using 3 compartment sink until machine shows chlorine at final rinse. This machine should be tested each morning before use. I will return to reinspect it.
8204758,"","",""
3608418,"3-302.11(A)(1,2)",Refrigerator and freezer:Observed raw meat stored alongside with bread.,**Corrected on site**
3608418,6-301.12,Front service handwashing sink lacking paper towels.,**Corrected**
9903974,"","",""
9904187,4-101.19,Shelves above 3-compartment sink are corroded.,Operator states replacement of these shelves is on the list of improvements desired as budget allows.
8204749,3-403.11,Observed marinara sauce and meat balls at 70 F on hot holding unit. PIC stated food had been on hot holding for approximately a half hour but had not been properly reheated to 165 F before.,*CORRECTED** MARINARA SAUCE AND MEATBALLS REMOVED FROM HOT HOLDING UNIT AND REHEATED TO 165 F ON STOVE TOP THEN PLACED BACK ON UNIT TO BE MAINTAINED AT 135 F OR ABOVE.
8204749,4-602.11(A)(C),Observed an accumulation of food debri on deli slicer. PIC stated it being used on the previous day and had not been cleaned yet.,"*CORRECTED** DELI SLICER BROKEN DOWN TO BE WASHED, RINSED AND SANITIZED. PLEASE CLEAN MORE THOROGHLY AND REGULARLY."
8204749,3-202.18(A),Observed shellfish batch in walk-in to be without tag identification. PIC was unable to find proper tag matching thisbatch. Tags for other batches have been kept for at least 90 days.,Please keep proper tag with current batch and place date on tag when last used. Always keep tags for at least 90 days.
8505807,3-304.12,All working tools need to be in water greater than 135F or less than 41F.,""
8505807,3-304.14,Sanitizer isn't working in despenser. Repair.,""
8505807,3-603.11,"Several items need the advisory and astericks for foods that will be undercooked or have raw protein in it. Items to be corrected: BAR: Ityems to be astericked include - Ahi, Seared steak bits, Burger. LUNCH - Scallops if undercooked, blackened salamon if undercooked DINNER: Seared steak bites, Prime Rib, Steaks and Chops",***Corrrected by verbal war nings until written/prited menu are in place. Pls email me with any questions before reprinting. I will retune in 2 weeks.
8505807,3-501.18(A),Desserts from 3/18 were several days past discard date.,***Corrected by discarding.
8505807,6-301.12,NO paper towel at bar.,***Corrected by getting paper towel to bar.
8505807,5-202.12(B)(C)(D),No Hot water at handwashing sink at dish station.,""
8505807,4-203.11,No Thin tipped thermometer on hand,***Corrected by using probe until thin-tipped is on hand.
7704458,6-501.12,Under around and through out facility is not cleaned as required intervals.,***Cardboard should be removed daily and general cleaning should be also be done on daily.
7704458,4-302.14,Testing strips are not provided.,"***Provide and use strips, corrected"
7704458,3-501.13,"",""
7704458,3-603.11,Raw oysters are served there is no advisory on menu.,"***Menu should have consumer advisory lanuage, associate product with astrik to advisory."
6205275,"","",""
6004205,4-602.11(E),Interior components of ice machine are showing mold growth.,Please clean.
6004205,3-304.14,Lacking sanitizer buckets/solution to store wiping cloths in-between use.,"Correct by providing solution; recommend two cloth towels in solution, rotate every 30-45 mins."
3404579,4-602.11(E),Soda spigots have pink slime build-up inside of gun.,"Please increase the frequency of cleaning and have beverage service instruct on proper cleaning methods, if necessary."
3404579,93D,ADD RED FLUID THERMOMETER TO LOWBOY COOK LINE FRIDGE.,""
3404579,3-403.11,"Soup was being warmed in hot holding unit was at 90 F. The soup was placed in the unit at 11 am, per cook, and it was 12:45 pm when the temperature was taken.",***CORRECTED*** by education and cook reheating the soup on the stove up to 165 F and placing it back in holding unit.
8505553,3-501.15,"At least 2 quichesmade this morning, in glass front display refrigerator, were 55F and 51F.",***Corrected by moving to single door True unit. Product was made 5 hours ago. Quiche must be 41F or less before going into the display unit as this unit is intended to keep foods cold but not 'cool food down'. The ambient temperature of the unit had risen to 48F.
8505642,4-502.11(B),All refrigeration units need thermometers. Small unit in kitchen doesn't have one.,""
8505642,7-102.11,Windex in spray bottle not labeled.,***Correct by labeling
8505642,3-501.16,"Single door 'Howard' shows 50F according to red fluid thermometer in unit. My digital in unit for 5 minutes dropped to 47F. Products in unit over night according to attendant were butter 47F, packaged egg in sealed box 47F, Milk***Second small unit holding yogurt reached 46F min according to my digital after 5 minutes in unit. There is no thermometer in unit. Yogurt in unit over night was 46F.",***Corrected by discarding potentially hazardous foods. You need to get this serviced. I will return in approx 2 weeks. Use the unit downstairs until it is repaired. You may store items on ice upstiars during service as long as products are 41F or less at all times. ***Corrected by discarding potentailly hazardous foods in this unit until holding 41F or less. There was a box pressed right up against fan which may have casued the problem.
8505642,3-304.14,No sanitizer set up at inspection. Corrected.,""
8204776,3-502.12(A)(B)(4)(C)(D)(2b-e)(E)(1),"Observed raw rabbit protein, beef and fish in reduced oxygen packaging that had dates well beyond 48 hours from packaging date. Proteins had been ROP'd in a FOODSAVER model vacuum sealer. Do not keep potentially hazardous food in reduced oxygen packaging for more than 48 hours without an approved variance.",*CORRECTED** ALL PHF IN REDUCED OXYGEN PACKAGING DATED BEYOND 48 HOURS DISCARDED. PROTEINS WITHIN 48 HOURS OF PACKAGING OPENED KEPT.
6608962,4-101.11(B)-(E),"THE ONE CUTTING BOARD ON THE SHELVES IS VERY WORN, AND HAS DEEP CUTS AND IS VERY SOILED IN THE CUT AREAS.",DISCARD.
6608962,4-501.114(A),"THE THIRD COMPARTMENT OF THE 3 COMPARTMENT SINK WAS LACKING SANITIZER, AND SO WHERE THE JUST WASHED DISHES.(I CHECKED FOR BOTH FREE CHLORINE AND QUATS.)",***CORRECTED*** PIC REMADE THE SANITIZER WATER AND PUT THE DISHES BACK IN TO SANITIZE.THANKS.
6608962,6-301.12,THE RESTROOM WAS LACKING PAPER TOWELS.,***CORRECTED*** PROVIDED.
6205047,"","",""
6805473,"","",""
8404117,4-703.11,Chlorine concentration of Hobart lo-temp dish machine final rinse noted at 10ppm,"***CORRECTED*** Discussed issue. Sanitizer line primed, problem resolved."
9505532,"","",""
7704822,5-205.15(B),The kitchen handsink plumbing has a leak.,***Repair
7704822,3-603.11,"Oyster/eggs/hamburgers are served under cooked, there is no consumer advisory on the menu for these items.",***Rewrite menu to it shows that thses items are undercooked.
7704822,3-203.12,Raw oysters are served at facility. The lids should be kept with the date of the last consumed/served.,****Keep lids for 90days and write date of last one consumed.
7704822,5-203.11,An additional sink for handwashing or prep sink should be installed in the kitchen. There is no prep sink and handsink is being used for prepping.,***Add an addition sink.
7704815,4-202.15,The can opener is not clean.,***Clean more frequently
7704815,4-703.11,Dishwashing machine has a final rinse temperature of 149F.,***Dishwasher should have a final rinse temperature of 160F. The braker was tripped. The temperature was 165F at the final rinse at inspection.
7704815,3-501.16,The bulk milk 1 door refrigerator is holding at 44F.,***The refrigerator is turned down at inspection.
7704815,5-202.12(A),The temperature for hot water at the kitchen handwashing sink is not consistant.,***The temperature should be consistant at least 100F or higher.
8505824,3-501.14,Garbonzo bean soup in walkin was 90F.,***Corrected by reheating to 165F and start the cooling process again.Had not exceeded 4 hours out of temperature. Talked with cook extensively about proceedures and left cooling handouts in both English and Spanish.
8505824,5-203.11,The handwashing sink in prep area was removed to increase storage.,***Corrected by re-installing sink. I will return in 2 weeks to reinspect that it is back up.
6205334,"3-302.11(A)(1,2)","In the front undercounter refrigeration unit, a stainless insert pan of raw chicken was sitting on the shelf above raw shrimp, raw beef and RTE frozen vegetables.",CORRECTED. The pans were rearranged correctly.
7704771,3-304.14,Sanitizer concentration of bucket has 0ppm of chlorine.,***Buckets remade at inspection to 100ppm of chlorine.
7704771,4-601.11(A),Slicer is not clean from use two days ago.,***Slicer should be cleaned after each use. Clean at inspection.
7704771,3-501.15,"Soup made up today has an internal temperature of 48F, inside a container with the lid on.",***Cooling should be done quickly and the lid should only be placed on the container when the product is 41F or below. Lid removed at inspection.
7704771,"3-501.19(A)(B)(2)(C)(2,3)",Self service cream pitchers are sitting out of refrigeration and not on a time control.,***Pitchers should be on a 4 hour timing rules where they are removed and washed rinsed sanitized air dried before reuse. Pulled at 10:30am
7704771,6-301.12,Paper towels are not provided at the 3 compartment handwashing sink.,***Provide
7704771,5-205.11,Pitchers are being rinsed and dumped at the front hand washing sink.,***Handwashing sinks are for handwashing only. Dumping and rinsing should be done in a prep sink at the 3 compartment sink. Discontinue process.
6608892,4-302.12,"OPERATOR IS MISSING A PROBE THERMOMETER.OPERATOR IS NOT COOKING RAW MEATS EXCEPT EGGS FOR BAKING AND IN THE UNCOOKED DESERT WITH A RISK ADVISORY, BUT STILL NEEDS A THERMOMETER TO CHECK FOOD TEMPERATURES .",OBTAIN ASAP.
7704456,4-302.14,Quat testing strips are not provided.,***Provide and use.
7704456,3-501.18(A),"Rice cooked up on 5/20, is still in use at the sandwich prep line.",***There is a 7 day use for food that is made or prepared. This product is 3 days past discard date. Discarded at inspection.
7704456,3-501.16,"Display case is holding products at 45F -44F; pasta salad made 5/29, fruit salad 5/29, tuna wrap 5/29, snack packs holding at 48F, yogut, hard boiled egg, string cheese, and lactose free milk. Alos, in the sandwich line turkey and ham holding at 50F-43F.",****Potentially hazardous food should be held for cold holding at 41F or below. These items are discarded at inspection. Both units are turned down and should be monitored to make sure they are holding 41F or below. NOTE: when filling containers just fill to the chill line not above.
7704456,4-501.114(C),Sanitizer bucket is not made up in the front or in the back food prep areas.,***Buckets made up at inspection.
7704456,"2-102.11(A)(B)(C)(1,4-16)","CIP didn't know maxium cold holding temperature, concentration of quat, maximium days allowed to hold cooked or prepared food.",***Review food handler exam and review main critical violations.
7704426,6-501.111(A)(B)(D),There is an ant problem though out the facility.,***Please work on getting rid of these pest.
7704426,6-501.114,"There are several unnecessary items though out the facility, organize and remove items to properly clean facility.",""
7704426,4-601.11(A),Ice machine is not clean.,***Clean more frequently
7704426,3-501.16,"Milk and yogut in the black small domestic style refrigerator have internal temperature of 55F. Milk in the small domestic style refrigerator have internal temperature of 46F, 45F, 44F.","***Black refrigerator is in need of defrosting, products discared. The white refrigerator is turned down and product discarded at inspection. These unit are at the maxium there may need to replace units if not holding products at 41F or below."
7704426,4-501.114(A),Sanitizer concentration has >200ppm of chlorine.,***concentration should be between 50ppm-100ppm of chlorine. Remade at inspection.
7704663,"","",""
6609220,6-202.14,THE CUSTOMER RESTROOM DOOR IS NOT SELF-CLOSING.,""
6609220,6-202.11,"LIGHTS OVER THE STOVE, ABOVE THE BACK AREA PREP AREAS WERE NOT SHIELDED.",PROVIDE SHIELDS.
